negation_type,target,report_language_group,detector_combination,rule_combination,phenotype,evidence_instances,unique_evidence_texts,unique_studies,example_evidence,classification_basis
explicit_normality,ACL,french,v2_collective,cruciate_ligaments,abnormality_absent,20,9,20,les ligaments croises anterieur et posterieur sont intacts et sans dechirure.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,french,v2_exact,<no_explicit_rule>,abnormality_absent,22,2,22,ligament croise anterieur : normal.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,french,v3_target,target_local_normality,normal_structure,22,2,22,ligament croise anterieur : normal.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,german,v2_collective,cruciate_ligaments,abnormality_absent,147,39,147,kreuzbander intakt.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,german,v2_exact,<no_explicit_rule>,abnormality_absent,4,3,4,kapsel sehnen bander: intakte darstellung und unauffalliger verlauf von acl und pcl.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,german,v3_target,target_local_normality,normal_structure,4,3,4,kapsel sehnen bander: intakte darstellung und unauffalliger verlauf von acl und pcl.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,greek_script,v2_collective,cruciate_and_collateral_ligaments,abnormality_absent,18,17,18,"απο τον ελεγχο των μηνισκων, των χιαστων και πλαγιων συνδεσμων, του αρθρικου χονδρου, του οστικου μυελου και του εκτατικου μηχανισμου δεν παρατηρουνται παθολογικα ευρηματα.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,greek_script,v2_collective,cruciate_and_collateral_ligaments|cruciate_ligaments,abnormality_absent,31,17,31,χιαστοι και πλαγιοι συνδεσμοι απεικονιζονται εντος του φυσιολογικου.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,greek_script,v2_collective,cruciate_ligaments,abnormality_absent,24,21,23,"εντος του φυσιολογικου ελεγχονται οι μηνισκοι, οι πλαγιοι και οι χιαστοι συνδεσμοι.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,latin_other,v2_collective,cruciate_and_collateral_ligaments,abnormality_absent,5,5,5,"intact cruciate and collateral ligaments, popliteus musculotendinous unit, extensor tendons and distal iliotibial band.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,latin_other,v2_collective,cruciate_and_collateral_ligaments|cruciate_ligaments,abnormality_absent,2,1,2,ligamentos cruzados y colaterales de grosor y senal normal.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,latin_other,v2_collective,cruciate_ligaments,abnormality_absent,3,2,3,compartiment intercondylaire (ligaments croises anterieur et posterieur) : normal.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,latin_other,v2_exact,<no_explicit_rule>,abnormality_absent,4,4,4,"prednji krizni ligament je odrzanog kontinuiteta, primjerenih intenziteta signala.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,latin_other,v3_target,target_local_normality,normal_structure,4,4,4,"prednji krizni ligament je odrzanog kontinuiteta, primjerenih intenziteta signala.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,south_slavic,v2_collective,cruciate_ligaments,abnormality_absent,51,28,51,"na seriji mr presjeka desnog koljena nalazi se uredna morfologija i intenziteti signala kolateralnih ligamenata, prednjeg i straznjeg kriznog ligamenta, iliotibijalnog traktusa, patelarne tetive i tetive m.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,south_slavic,v2_exact,<no_explicit_rule>,abnormality_absent,72,24,72,prednji krizni ligament je urednog intenziteta signala te se prati u kontinuitetu.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,south_slavic,v3_target,target_local_normality,normal_structure,147,69,146,"na seriji mr presjeka desnog koljena nalazi se uredna morfologija i intenziteti signala kolateralnih ligamenata, prednjeg i straznjeg kriznog ligamenta, iliotibijalnog traktusa, patelarne tetive i tetive m.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,spanish,v2_collective,cruciate_and_collateral_ligaments|cruciate_ligaments,abnormality_absent,236,9,236,ligamentos cruzados y colaterales dentro de limites normales.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,spanish,v2_collective,cruciate_ligaments,abnormality_absent,34,4,34,ligamentos cruzados y colateral lateral sin alteraciones.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,spanish,v2_exact,<no_explicit_rule>,abnormality_absent,3,2,3,lca y ligamentos colaterales dentro de limites normales.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,spanish,v3_target,target_local_normality,normal_structure,5,3,4,lca y ligamentos colaterales dentro de limites normales.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,turkish,v2_collective,cruciate_ligaments,abnormality_absent,7,4,7,capraz baglar normal.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,turkish,v2_exact,<no_explicit_rule>,abnormality_absent,43,12,43,"on capraz bag ve arka capraz bag, lateral kollateral ligaman normaldir.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,turkish,v3_target,target_local_normality,normal_structure,43,12,43,"on capraz bag ve arka capraz bag, lateral kollateral ligaman normaldir.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Contusion,english,v2_exact,<no_explicit_rule>,abnormality_absent,2,2,2,no abnormal bone marrow edema or bone contusions.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Contusion,german,v2_exact,<no_explicit_rule>,abnormality_absent,10,5,10,"in den vorliegenden sequenzen unauffallige signalgebung der ossaren strukturen, kein knochenmarksodem, kein bone bruise.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Effusion,german,v2_exact,<no_explicit_rule>,abnormality_absent,2,2,2,"intakte darstellung der gelenkkapsel, kein wesentlicher erguss.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Effusion,latin_other,v2_exact,<no_explicit_rule>,abnormality_absent,1,1,1,"> no effusion of the joint, and the patella and the patellar tendon otherwise appear normal.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Fracture,cyrillic_script,v2_exact,<no_explicit_rule>,abnormality_absent,2,2,2,"костите, формиращи дясната колянна става са с нормална форма и сигнален интензитет, без данни за фрактура.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Fracture,english,v2_exact,<no_explicit_rule>,abnormality_absent,3,3,3,"no fracture or marrow infiltration, minimal intra articular fluid, probably within normal physiological limits.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Fracture,south_slavic,v2_exact,<no_explicit_rule>,abnormality_absent,1,1,1,"uredan intenzitet signala svih kostanih struktura, bez znakova frakture, kostanog edema ili osteonekroze.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,cyrillic_script,v2_collective,both_menisci_negative_only,abnormality_absent,8,3,8,нормално изобразяване на менискусите.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,cyrillic_script,v2_exact,<no_explicit_rule>,abnormality_absent,84,15,84,нормално изобразяване на латералния менискус.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,cyrillic_script,v3_target,target_local_normality,normal_structure,88,16,86,нормално изобразяване на латералния менискус.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,dutch,v2_collective,both_menisci_negative_only,abnormality_absent,4,3,4,de signaalintensiteiten van de menisci lijken binnen normale grenzen.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,dutch,v2_collective,both_menisci|both_menisci_negative_only,abnormality_absent,36,3,36,normaal voorkomende menisci.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,dutch,v2_exact,<no_explicit_rule>,abnormality_absent,40,8,40,intacte laterale meniscus.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,dutch,v3_target,target_local_normality,normal_structure,42,9,41,intacte laterale meniscus.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,english,v2_collective,both_menisci_negative_only,abnormality_absent,33,13,33,intact menisci.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,english,v2_collective,both_menisci|both_menisci_negative_only,abnormality_absent,159,8,159,normal medial and lateral menisci.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,english,v2_exact,<no_explicit_rule>,abnormality_absent,588,49,588,normal lateral meniscus.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,english,v3_target,target_local_normality,normal_structure,763,64,756,normal lateral meniscus.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,french,v2_collective,both_menisci_negative_only,abnormality_absent,1,1,1,les menisques sont sans particularite.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,french,v2_collective,both_menisci|both_menisci_negative_only,abnormality_absent,4,3,4,les menisques interne et externe sont intacts et sans dechirure.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,french,v2_exact,<no_explicit_rule>,abnormality_absent,30,4,30,menisque lateral : normal.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,french,v3_target,target_local_normality,normal_structure,32,6,32,menisque lateral : normal.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,german,v2_collective,both_menisci_negative_only,abnormality_absent,32,26,31,unauffallige darstellung der menisci.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,german,v2_collective,both_menisci|both_menisci_negative_only,abnormality_absent,11,3,11,menisci intakt.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,german,v2_exact,<no_explicit_rule>,abnormality_absent,78,19,78,intakter aussenmeniskus.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,german,v3_target,target_local_normality,normal_structure,81,21,80,intakter aussenmeniskus.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,greek_script,v2_collective,both_menisci,abnormality_absent,32,23,32,"εντος του φυσιολογικου ελεγχονται οι μηνισκοι, οι πλαγιοι και οι χιαστοι συνδεσμοι.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,greek_script,v2_exact,<no_explicit_rule>,abnormality_absent,29,28,29,"ανωμαλια της παρυφης φυσιολογικος απεικονιζεται ο εξω μηνισκος, οι χιαστοι και οι πλαγιοι συνδεσμοι.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,greek_script,v3_target,target_local_normality,normal_structure,40,38,38,"εξω μηνισκος, χιαστοι και πλαγιοι συνδεσμοι, αρθρικος χονδρος, οστικος μυελος και εκτατικος μηχανισμος απεικονιζονται χωρις παθολογικα ευρηματα.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,latin_other,v2_collective,both_menisci_negative_only,abnormality_absent,5,5,5,"meniscos de morfologia normal con aumento de senal intrasustancia de aspecto degenerativo, sin atributos sugerentes de rotura.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,latin_other,v2_collective,both_menisci|both_menisci_negative_only,abnormality_absent,6,6,6,"no associated osteochondral impaction injury, well preserved posterior cruciate and both collateral ligaments, distal iliotibial band, both menisci, no posterolateral corner injury pattern is appreciated.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,south_slavic,v2_collective,both_menisci,abnormality_absent,1,1,1,primjeren prikaz oba meniska.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,south_slavic,v2_collective,both_menisci_negative_only,abnormality_absent,3,3,3,"menisci, krizni i kolateralni ligamenti primjerenog prikaza.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,south_slavic,v2_exact,<no_explicit_rule>,abnormality_absent,67,20,67,medijalni i lateralni menisk uredne su morfologije i intenziteta signala.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,south_slavic,v3_target,target_local_normality,normal_structure,68,21,67,medijalni i lateralni menisk uredne su morfologije i intenziteta signala.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,spanish,v2_collective,both_menisci,abnormality_absent,1,1,1,"menisco medial y lateral, de morfologia conservada, sin atributos de rotura.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,spanish,v2_collective,both_menisci_negative_only,abnormality_absent,119,28,119,"meniscos impresionan de morfologia y senal conservada, sin criterios de una rotura categorica.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,spanish,v2_collective,both_menisci|both_menisci_negative_only,abnormality_absent,7,5,7,"ambos meniscos muestran morfologia normal, sin signos de roturas.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,spanish,v2_exact,<no_explicit_rule>,abnormality_absent,4,4,4,el menisco lateral es de morfologia y senal conservada.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,spanish,v3_target,target_local_normality,normal_structure,4,4,4,el menisco lateral es de morfologia y senal conservada.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,turkish,v2_collective,both_menisci_negative_only,abnormality_absent,2,2,2,medyal ve lateral meniskusler normal.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,turkish,v2_exact,<no_explicit_rule>,abnormality_absent,282,15,282,medyal ve lateral meniskus normal.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral Meniscus,turkish,v3_target,target_local_normality,normal_structure,283,16,283,medyal ve lateral meniskus normal.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,cyrillic_script,v2_exact,<no_explicit_rule>,abnormality_absent,3,3,3,ставният хрущял от латералната страна на ставата е запазен.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,cyrillic_script,v3_target,compartment_normality,normal_cartilage,3,3,3,ставният хрущял от латералната страна на ставата е запазен.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,dutch,v3_target,compartment_normality,normal_cartilage,2,1,2,intact voorkomen van het lateraal femorotibiaal kraakbeen.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,english,v2_exact,<no_explicit_rule>,abnormality_absent,141,29,141,the lateral compartment articular cartilage is preserved.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,english,v3_target,compartment_normality,normal_cartilage,147,35,147,the lateral compartment articular cartilage is preserved.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,french,v2_exact,<no_explicit_rule>,abnormality_absent,4,2,4,le cartilage du compartiment externe est sans particularite.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,french,v3_target,compartment_normality,normal_cartilage,4,2,4,le cartilage du compartiment externe est sans particularite.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,german,v2_exact,<no_explicit_rule>,abnormality_absent,2,2,2,laterales kompartiment: regelrechtes knochenmarksignal intakter knorpel.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,german,v3_target,compartment_normality,normal_cartilage,4,4,4,laterales kompartiment: regelrechtes knochenmarksignal intakter knorpel.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,greek_script,v2_exact,<no_explicit_rule>,abnormality_absent,3,3,3,ο αρθρικος χονδρος σε εσω και εξω διαμερισμα ειναι φυσιολογικος.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,greek_script,v3_target,compartment_normality,normal_cartilage,3,3,3,ο αρθρικος χονδρος σε εσω και εξω διαμερισμα ειναι φυσιολογικος.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,latin_other,v2_collective,tibiofemoral_compartments,abnormality_absent,4,4,4,cartilago de compartimentos femorotibiales de grosor normal.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,south_slavic,v3_target,compartment_normality,normal_cartilage,1,1,1,primjerena je debljina artikulacijske hrskavice kondila femura i platoa tibije medijalnog i lateralnog kompartmenta femorotibijalnog zgloba.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,spanish,v2_collective,tibiofemoral_compartments,abnormality_absent,161,25,161,cartilago de compartimentos femorotibiales y patelofemoral de grosor y senal normal.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,spanish,v2_exact,<no_explicit_rule>,abnormality_absent,17,7,17,cartilagos del compartimento femorotibial lateral sin alteraciones significativas.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,Lateral OA,spanish,v3_target,compartment_normality,normal_cartilage,17,7,17,cartilagos del compartimento femorotibial lateral sin alteraciones significativas.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,cyrillic_script,v2_collective,collateral_ligaments,abnormality_absent,118,19,117,колатерални лигаменти със запазена цялост.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,dutch,v2_collective,collateral_ligaments,abnormality_absent,54,13,54,kruisbanden en laterale banden intact.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,dutch,v2_exact,<no_explicit_rule>,abnormality_absent,9,2,9,mcl: intact.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,dutch,v3_target,target_local_normality,normal_structure,9,2,9,mcl: intact.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,english,v2_collective,collateral_ligaments,abnormality_absent,164,31,164,> normal appearance of medial and lateral collateral ligaments,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,english,v2_collective,collateral_ligaments|cruciate_and_collateral_ligaments,abnormality_absent,50,16,50,intact cruciate and collateral ligaments.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,english,v2_exact,<no_explicit_rule>,abnormality_absent,590,71,590,the medial collateral ligament complexes are intact.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,english,v3_target,target_local_normality,normal_structure,908,92,906,the medial collateral ligament complexes are intact.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,french,v2_exact,<no_explicit_rule>,abnormality_absent,20,7,20,le ligament collateral interne est normal.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,french,v3_target,target_local_normality,normal_structure,43,18,43,"autrement le ligament croise anterieur, le ligament croise posterieur, le menisque interne, le menisque externe, le mecanisme des extenseurs, le ligament collateral interne, le semi membraneux, le muscle et tendon du poplite, le biceps femoris distal, le ligament collateral externe et la bandelette ilio tibiale sont sans particularite.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,german,v2_collective,collateral_ligaments,abnormality_absent,61,18,61,laterale kollateralbander intakt.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,german,v2_exact,<no_explicit_rule>,abnormality_absent,65,15,65,lcl und mcl intakt.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,german,v3_target,target_local_normality,normal_structure,68,18,67,lcl und mcl intakt.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,greek_script,v2_collective,collateral_ligaments,abnormality_absent,56,50,54,"φυσιολογικα απεικονιζονται ο οπισθιος χιαστος συνδεσμος, οι πλαγιοι συνδεσμοι και ο εσω μηνισκος.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,MCL,greek_script,v2_collective,collateral_ligaments|cruciate_and_collateral_ligaments,abnormality_absent,49,34,49,χιαστοι και πλαγιοι συνδεσμοι απεικονιζονται εντος του φυσιολογικου.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
