target,language_group,detector,rule,phenotype,uncertainty_pattern,evidence_instances,unique_evidence_texts,duplicate_rate_excess,example_evidence
ACL,south_slavic,v3_target,target_local_association,tear,?,1,1,0.0,"prednji krizni ligament urednog signala, u srednjoj trecini iregularnije konture dijela vlakana, stanje po ranijoj parcijalnoj rupturi?"
ACL,south_slavic,v3_target,target_local_association,tear,moguce,2,2,0.0,"prednji krizni ligament je zadebljan, povisenog intenziteta signala, vjerojatno u smislu degenerativnih promjena, moguce i stanje po ranijoj parcijalnoj rupturi, uz vidljive intraosealne ganglion ciste na hvatistu za tibiju promjera do 7 mm."
ACL,south_slavic,v3_target,target_local_association,tear,moze odgovarati,12,12,0.0,"prednji krizni ligament izmijenjenog intenziteta sginala, diskertno tanji u podrucju tibijalnog hvatista posterolateralnog snopa moze odgovarati manjoj parcijalnoj rupturi."
ACL,south_slavic,v3_target,target_local_association,tear,vjerojatno,2,2,0.0,"prednji krizni ligament odrzanog kontinuiteta, u distalnom dijelu blaze promijenjenih intenziteta signala, uz vidljive sitne intraosealne ganglion ciste nalaz moze odgovarati degenerativnim promjenama, manje vjerojatno ranijoj parcijalnoj rupturi."
ACL,south_slavic,v3_target|v2_exact,target_local_association,degeneration,moguce,1,1,0.0,"prednji krizni ligament je blaze inhomognog prikaza i promijenjenog intenziteta signala, moguce stanje po distenziji blaza mukoidna degeneracija."
ACL,south_slavic,v3_target|v2_exact,target_local_association,tear,moguce,8,8,0.0,"prednji krizni ligament se prati u kontinuitetu, zadebljanih kontura i povisenih intenziteta signala, moguce u sklopu manje parcijalne rupture."
ACL,south_slavic,v3_target|v2_exact,target_local_association,tear,vjerojatno,2,2,0.0,"prednji krizni ligament je izrazito degenerativno promijenjen, smanjene napetosti, vjerojatno uslijed suzenja zglobnog prostora, bez jasnih znakova rupture."
ACL,spanish,v3_target,target_local_association,tear,probable,2,2,0.0,impresion: rotura completa de alto grado del lca asociado a edema oseo y probable fractura subcortical del aspecto posterior del platillo tibial lateral.
ACL,turkish,v3_target,target_local_association,degeneration,dusundurur,1,1,0.0,anterior capraz bagda mukoid dejenerasyonu dusundurur sinyal degisiklikleri mevcuttur.
ACL,turkish,v3_target,target_local_association,tear,supheli,1,1,0.0,on capraz bagin posterolateral demetinde tibyal tutunma duzeyinde hafif dereceli ondulasyon ile karakterize supheli parsiyel yirtik izleniyor.
Baker's,english,v2_exact,<no_explicit_rule>,abnormality,likely,1,1,0.0,small baker's cyst with low signal rim likely reflecting prior hemarthrosis with hemosiderin staining.
Baker's,english,v2_exact,<no_explicit_rule>,abnormality,suspect,1,1,0.0,5) suspect baker's cyst at left knee.
Baker's,english,v2_exact,<no_explicit_rule>,tear,suspected,1,1,0.0,suspected rupture of baker's cyst.
Baker's,english,v3_morphology,baker_variants,baker_cyst,likely,1,1,0.0,small baker's cyst with low signal rim likely reflecting prior hemarthrosis with hemosiderin staining.
Baker's,english,v3_morphology,baker_variants,baker_cyst,suspect,1,1,0.0,5) suspect baker's cyst at left knee.
Baker's,english,v3_morphology,baker_variants,baker_cyst,suspected,1,1,0.0,suspected rupture of baker's cyst.
Baker's,south_slavic,v3_morphology,baker_sl|baker_variants,baker_cyst,moguce,1,1,0.0,baker cista aksijalno velicine oko 27x14 mm uz blazi edem okolnih mekih tkiva moguce stanje nakon rupture.
Baker's,spanish,v2_exact,<no_explicit_rule>,abnormality,probable,9,8,0.1111111111111111,quiste popliteo con probable filtracion hacia caudal.
Contusion,english,v2_exact,<no_explicit_rule>,abnormality,may represent,1,1,0.0,"mild marrow edema along the lateral cortex along the tibial plateau, may represent a small osseous contusion."
Contusion,english,v2_exact,<no_explicit_rule>,abnormality,possible,1,1,0.0,possible bone contusion.
Contusion,english,v2_exact,<no_explicit_rule>,abnormality,suspect,1,1,0.0,"suspect bone contusion of right knee, major at the lateral femoral condyle and posterior aspect of proximal tibia."
Contusion,english,v2_exact,<no_explicit_rule>,fracture,no definite,2,2,0.0,"the study reveals normal knee joint alignment, no definite fracture or bone contusion noted."
Contusion,english,v2_exact,<no_explicit_rule>,fracture,possible,1,1,0.0,bone contusion involving lateral femoral condyle with possible mild impaction fracture within the posterior aspect.
Contusion,english,v2_exact,<no_explicit_rule>,fracture,probable,1,1,0.0,impression: probable bone contusion involving the lateral femoral condyle and lateral tibial plateau without discrete fracture line.
Contusion,english,v2_exact,<no_explicit_rule>,fracture,suspicious,1,1,0.0,"no suspicious bone lesion, gross fracture, or bone contusion is shown."
Contusion,english,v3_morphology,contusion_en,bone_contusion,may represent,2,2,0.0,"foci of subtle marrow edema along the peripheral aspect of the medial femoral condyle, which may represent resolving bone contusions."
Contusion,english,v3_morphology,contusion_en,bone_contusion,no definite,2,2,0.0,"the study reveals normal knee joint alignment, no definite fracture or bone contusion noted."
Contusion,english,v3_morphology,contusion_en,bone_contusion,possible,2,2,0.0,possible bone contusion.
Contusion,english,v3_morphology,contusion_en,bone_contusion,probable,1,1,0.0,impression: probable bone contusion involving the lateral femoral condyle and lateral tibial plateau without discrete fracture line.
Contusion,english,v3_morphology,contusion_en,bone_contusion,suspect,3,3,0.0,"* bone marrow edema in bilateral femoral condyles and anteromedial and posterolateral aspect of proximal tibia, suspect bone contusion."
Contusion,english,v3_morphology,contusion_en,bone_contusion,suspected,3,3,0.0,suspected resolving bone contusions medial femoral condyle.
Contusion,english,v3_morphology,contusion_en,bone_contusion,suspicious,1,1,0.0,"no suspicious bone lesion, gross fracture, or bone contusion is shown."
Contusion,south_slavic,v3_morphology,contusion_sl,bone_contusion,moze odgovarati,1,1,0.0,"medijalni menisk blago povisenog signala u podrucju srednje trecine koja zahvaca vanjsku(crvenu) trecinu meniska, moze odgovarati zoni kontuzije ili degenerativnim promjenama."
Contusion,turkish,v3_morphology,contusion_tr,bone_contusion,?,1,1,0.0,on capraz bagin tibyaya yapisma kesiminde tibyal platoda subkortikal kemik iligi odemi gozleniyor (kontuzyon?
Contusion,turkish,v3_morphology,contusion_tr,bone_contusion,temsil edebilir,1,1,0.0,lateral femoral kondilin santral kesimindeki subkortikal hafif kemik iligi odemi gerilemekte olan kontuzyonu temsil edebilir.
Effusion,dutch,v2_exact,<no_explicit_rule>,chondral_abnormality,vermoeden,1,1,0.0,besluit: sterk vermoeden beginnend femoropatellair kraakbeenlijden graad 2 met lichte hydrops .
Effusion,english,v2_exact,<no_explicit_rule>,abnormality,likely,2,2,0.0,small volume of joint fluid is likely within normal physiological limits.
Effusion,english,v2_exact,<no_explicit_rule>,fracture,suspect,1,1,0.0,minimal amount of right knee effusion with synovitis is present severe bone marrow edema at posterior lateral tibial plateau and lateral femoral condyle (suspect split non displaced fracture postero lateral tibial plateau)
Effusion,english,v3_morphology,effusion_en_plural,joint_effusion,likely,1,1,0.0,in addition adjacent to this there are several rounded or ovoid areas within the joint effusion hemarthrosis with reduced signal characteristics on the fat sat sequences and intermediate to high signal intensity on the nonfat sat pd images which likely represents some residual fat related to the previously identified lipohemarthrosis.
Effusion,english,v3_morphology,effusion_en_plural,joint_effusion,suspect,1,1,0.0,minimal amount of right knee effusion with synovitis is present severe bone marrow edema at posterior lateral tibial plateau and lateral femoral condyle (suspect split non displaced fracture postero lateral tibial plateau)
Effusion,south_slavic,v2_exact,<no_explicit_rule>,abnormality,moguce,2,2,0.0,lokulirani izljev uz iliotibijalni trakt moguce u sklopu sindroma iliotibijalnog trakta.
Fracture,dutch,v2_exact,<no_explicit_rule>,chondral_abnormality,vermoeden,1,1,0.0,geassocieerd > botoedeem posterieure aflijning tibiaplateau (mediaal aldaar vermoeden van een kleine subchondrale fractuur meer dan lateraal).
Fracture,english,v3_morphology,fracture_en,fracture,suspect,2,2,0.0,1) suspect patellar avulsion fracture at medial patellar retinaculum (srs img:[id] 9)
Fracture,english,v3_morphology|v2_exact,fracture_en,fracture,likely,2,2,0.0,"results: mri of the right knee shows likely old patellar dislocation or bipartite patella without fracture, patella alta with lateralization, mild hoffa‚aos fat pad edema, early femorolateral osteoarthritis with joint space narrowing, lateral femoral condyle contusion, and fibrous cortical defect."
Fracture,english,v3_morphology|v2_exact,fracture_en,fracture,may represent,1,1,0.0,"this may represent reactive changes to 2 chondromalacia, but an occult minimal insufficiency fracture is possible."
Fracture,english,v3_morphology|v2_exact,fracture_en,fracture,no definite,19,11,0.42105263157894735,"the study reveals normal knee joint alignment, no definite fracture line noted."
Fracture,english,v3_morphology|v2_exact,fracture_en,fracture,possible,3,3,0.0,bone contusion involving lateral femoral condyle with possible mild impaction fracture within the posterior aspect.
Fracture,english,v3_morphology|v2_exact,fracture_en,fracture,probable,2,2,0.0,impression: probable bone contusion involving the lateral femoral condyle and lateral tibial plateau without discrete fracture line.
Fracture,english,v3_morphology|v2_exact,fracture_en,fracture,suspect,3,3,0.0,suspect linear fracture of tibial eminence.
Fracture,english,v3_morphology|v2_exact,fracture_en,fracture,suspected,3,3,0.0,suspected microtrabecular impaction fracture at the posterior aspect of the lateral tibial plateau.
Fracture,english,v3_morphology|v2_exact,fracture_en,fracture,suspicious,3,3,0.0,suspicious for bone fracture along lateral patellar.
Fracture,south_slavic,v3_morphology|v2_exact,fracture_sl,fracture,?,1,1,0.0,"atipican izgled lateralnog tibijalnog platoa s vecim konkavitetom i subhondralnom sklerozacijom uz fisure prilijezece hrskavice, moguce stanje nakon ranije subhondralne frakture?"
Fracture,south_slavic,v3_morphology|v2_exact,fracture_sl,fracture,moguce,1,1,0.0,"atipican izgled lateralnog tibijalnog platoa s vecim konkavitetom i subhondralnom sklerozacijom uz fisure prilijezece hrskavice, moguce stanje nakon ranije subhondralne frakture?"
Fracture,south_slavic,v3_morphology|v2_exact,fracture_sl,fracture,moze odgovarati,1,1,0.0,"s lateralne strane patele vidi se pd fs linearna hiperintenzivna linija koja moze odgovarati stanju po frakturi, manje vjerojatno patella bipartita."
Fracture,south_slavic,v3_morphology|v2_exact,fracture_sl,fracture,vjerojatno,1,1,0.0,"s lateralne strane patele vidi se pd fs linearna hiperintenzivna linija koja moze odgovarati stanju po frakturi, manje vjerojatno patella bipartita."
Fracture,spanish,v3_morphology,fracture_en,fracture,probable,1,1,0.0,impresion: rotura completa de alto grado del lca asociado a edema oseo y probable fractura subcortical del aspecto posterior del platillo tibial lateral.
Fracture,spanish,v3_morphology|v2_exact,fracture_en,fracture,probable,3,3,0.0,edema oseo post contusional del aspecto posterior del platillo tibial lateral con probable fractura osteocondral asociada.
Fracture,turkish,v3_morphology,fracture_tr,fracture,olabilir,1,1,0.0,tibyal plato medyalindeki genis kemik iligi odemi kotuzyonel ya da ince bir subkondral kirikla ilintili olabilir.
Fracture,turkish,v3_morphology|v2_exact,fracture_tr,fracture,supheli,3,3,0.0,bulgular: tibia platosunda t1 ve t2a serilerde hipointens supheli fraktur hatti ve etrafinda yaygin t2a serilerde kemik iligi odemi dikkati cekti.
Lateral Meniscus,dutch,v3_target|v2_exact,target_local_association,abnormality,vermoeden,1,1,0.0,"kleine radiaire scheur op de vrije boord op de junctie van de anterieure hoorn en het corpus van de laterale meniscus, en sterk vermoeden horizontale scheur op de anterieure hoorn met kleine parameniscale cyste."
Lateral Meniscus,dutch,v3_target|v2_exact,target_local_association,degeneration,vermoeden,1,1,0.0,"sterk vermoeden horizontale degeneratieve scheur op het corpus van de laterale meniscus, onder klein voorbehoud omwille van aanwezige calcificaties."
Lateral Meniscus,english,v3_target,target_local_association,abnormality,suspicious,1,1,0.0,"the lateral compartment, suspicious for injury at the root of posterior horn of the lateral meniscus."
Lateral Meniscus,english,v3_target,target_local_association,degeneration,r o,1,1,0.0,"> there are linear signal intensity in posterior horn of medial meniscus and lateral meniscus, without significant extending into the surface, r o degeneration."
Lateral Meniscus,english,v3_target,target_local_association,tear,cannot exclude,1,1,0.0,cannot exclude small perforation at the inferior (articular) surface of the posterior horn of the lateral meniscus complete acl tear with associated mild bone contusion
Lateral Meniscus,english,v3_target,target_local_association,tear,suspect,2,2,0.0,"lateral compartment, complex tear of anterior horn of lateral meniscus with suspect for flip of the meniscus to intercondylar region."
Lateral Meniscus,english,v3_target|v2_exact,target_local_association,abnormality,suspect,1,1,0.0,lateral meniscus suspect posterior root injury tricompartment oa changes;
Lateral Meniscus,english,v3_target|v2_exact,target_local_association,abnormality,suspicious,2,2,0.0,lateral meniscus: suspicious for tiny lesion presented as double anterior horn;
Lateral Meniscus,english,v3_target|v2_exact,target_local_association,tear,equivocal,1,1,0.0,equivocal tear over posterior horn of lateral meniscus.
Lateral Meniscus,english,v3_target|v2_exact,target_local_association,tear,no definite,18,8,0.5555555555555556,> no definite tear of medial or lateral meniscus in this study
Lateral Meniscus,english,v3_target|v2_exact,target_local_association,tear,possible,1,1,0.0,"suspected discrete longitudinal rupture of posterior horn of lateral meniscus, possible differentials thicker meniscofemoral ligament."
Lateral Meniscus,english,v3_target|v2_exact,target_local_association,tear,probable,2,2,0.0,probable small horizontal tear at the posterior horn of the lateral meniscus.
Lateral Meniscus,english,v3_target|v2_exact,target_local_association,tear,r o,1,1,0.0,"> linear signal intensity in lateral meniscus, with suspicious extending into the surface, r o degeneration with tear."
Lateral Meniscus,english,v3_target|v2_exact,target_local_association,tear,suspect,7,7,0.0,3) suspect tear of anterior & posterior horns of lateral meniscus.
Lateral Meniscus,english,v3_target|v2_exact,target_local_association,tear,suspected,20,12,0.4,suspected small radial free edge tear at the body of the lateral meniscus.
Lateral Meniscus,english,v3_target|v2_exact,target_local_association,tear,suspicious,11,11,0.0,suspicious incomplete discoid lateral meniscus without tear.
Lateral Meniscus,german,v3_target,target_local_association,degeneration,dd,3,3,0.0,allenfalls minimale punktformige flaue signalanhebung des aussenmeniskushinterhornes (6 21) dd mukoide degeneration.
Lateral Meniscus,german,v3_target|v2_exact,target_local_association,abnormality,verdacht,1,1,0.0,verdacht auf radiaren riss in der pars intermedia des aussenmeniskus.
Lateral Meniscus,south_slavic,v3_target,target_local_association,degeneration,moguce,1,1,0.0,"blago promijenjen intenzitet signala lateralnog meniska, moguce uslijed pocetnih degenerativnih promjena."
Lateral Meniscus,south_slavic,v3_target,target_local_association,tear,moguce,1,1,0.0,reducirana debljina lateralnog meniska koji je izmjenjenog intenziteta signala u straznjem rogu moguce stanje po ranijoj rupturi.
Lateral Meniscus,south_slavic,v3_target,target_local_association,tear,moze odgovarati,1,1,0.0,povisen intenzitet signala prednjeg roga i tijela lateralnog meniska uz formiranu meniscealnu cistu uz tijelo meniska promjera 3 mm moze odgovarati intrasupstancijskoj rupturi.
Lateral Meniscus,south_slavic,v3_target|v2_exact,target_local_association,tear,moguce,1,1,0.0,povisen intenzitet signala tijela i straznjeg roga lateralnog meniska moguce uslijed intrasupstancijske rupture.
Lateral Meniscus,south_slavic,v3_target|v2_exact,target_local_association,tear,vjerojatno,1,1,0.0,"kompleksna ruptura prednjeg roga lateralnog meniska, vjerojatno na bazi deg."
Lateral Meniscus,spanish,v3_target,target_local_association,tear,probable,1,1,0.0,impresion: fenomenos degenerativos marginales con probable rotura del cuerno posterior y parte de la raiz meniscal posterior del menisco lateral.
Lateral Meniscus,spanish,v3_target|v2_exact,target_local_association,tear,probable,3,3,0.0,"fibrilacion marginal con probable rotura del cuerno anterior del menisco lateral, no desplazada."
Lateral Meniscus,turkish,v3_target,target_local_association,tear,supheli,1,1,0.0,lateral meniskusteki dejenerasyona govdesi duzeyindeki serbest kenar kuntlesmesi eslik ediyor (milimetrik radyal yirtik acisindan supheli).
Lateral Meniscus,turkish,v3_target|v2_exact,target_local_association,tear,supheli,1,1,0.0,lateral meniskus govdesi duzeyinde serbest kenar duzensizligi bu duzeydeki puskullenme tarzinda yirtik acisindan supheli.
MCL,english,v3_target,target_local_association,abnormality,may represent,1,1,0.0,collateral ligaments & posterolateral corner: medial collateral ligament (mcl): periligamentous edema which may represent low grade sprain or reactivate edema from medial meniscus tear.
MCL,english,v3_target,target_local_association,abnormality,r o,2,2,0.0,"> the contour of acl and mcl is not all in a straight line and increase signal intensity inside, r o grade 1 2 injury."
MCL,english,v3_target,target_local_association,sprain,may represent,1,1,0.0,periligamentous edema about the medial collateral ligament which may represent low grade sprain or reactivate edema from medial meniscus tear.
MCL,english,v3_target,target_local_association,tear,likely,1,1,0.0,"high grade, likely functionally complete tear of the femoral insertion of the medial collateral ligament as detailed above."
MCL,english,v3_target|v2_exact,target_local_association,abnormality,likely,6,4,0.3333333333333333,"collateral ligaments & posterolateral corner: medial collateral ligament (mcl): intact, with periligamentous edema likely related to medial meniscal pathology."
MCL,english,v3_target|v2_exact,target_local_association,abnormality,suspect,2,2,0.0,"* high signal in the soft tissue medial to the medial collateral ligament with mild increased signal intensity of proximal ligament, suspect grade 2 injury."
MCL,english,v3_target|v2_exact,target_local_association,degeneration,may represent,1,1,0.0,collateral ligaments & posterolateral corner: medial collateral ligament (mcl): mild increased signal proximally which may represent early degenerative change versus chronic resolving low grade injury.
MCL,english,v3_target|v2_exact,target_local_association,sprain,possible,1,1,0.0,possible grade 1 mcl sprain.
MCL,english,v3_target|v2_exact,target_local_association,tear,likely,1,1,0.0,"medial compartment (meniscus, collateral ligament, cartilage): high grade, likely functionally complete tear of the femoral attachment of the medial collateral ligament with near complete involvement of the superficial and complete tear is of the deep meniscofemoral fibers and attachment."
MCL,english,v3_target|v2_exact,target_local_association,tear,may represent,1,1,0.0,"small multilocular fluid adjacent to the periphery of the medial meniscal body, which may represent small amount of mcl bursitis versus a small parameniscal cyst in the setting of an occult medical meniscal tear."
MCL,english,v3_target|v2_exact,target_local_association,tear,possible,2,1,0.5,mcl: possible partial tear at the femoral side
MCL,german,v3_target,target_local_association,tear,dd,1,1,0.0,"schmaler flussigkeitssaum medial des mcl, dd bei reizzustand, kein hinweis auf eine ruptur."
MCL,south_slavic,v3_target|v2_exact,target_local_association,tear,moguce,1,1,0.0,"edem unutarnjeg sloja medijalnog kolateralnog ligamenta, moguce uslijed distenzije ili rupture meniskofemoralnih sveza."
MCL,spanish,v3_target,target_local_association,sprain,probable,2,2,0.0,impresion: probable esguince de bajo grado del componente superficial del ligamento colateral medial.
Medial Meniscus,dutch,v2_exact,<no_explicit_rule>,chondral_abnormality,vermoeden,1,1,0.0,"sterk vermoeden horizontale scheur van het corpus van de mediale meniscus, onder klein voorbehoud omwille van aanwezigheid punctiforme calcificaties in kader van chondrocalcinose."
Medial Meniscus,dutch,v3_target,target_local_association,abnormality,vermoeden,1,1,0.0,"sterk vermoeden horizontale scheur van het corpus van de mediale meniscus, onder klein voorbehoud omwille van aanwezigheid punctiforme calcificaties in kader van chondrocalcinose."
Medial Meniscus,english,v2_collective,both_menisci,tear,r o,1,1,0.0,"> linear signal intensity in medial and lateral meniscus, with suspicious of extending into the surface of anterior horn of lateral meniscus, in favor of degeneration of meniscus and r o tear of anterior horn of lateral meniscus."
Medial Meniscus,english,v2_collective,both_menisci,tear,suspicious,1,1,0.0,"> linear signal intensity in medial and lateral meniscus, with suspicious of extending into the surface of anterior horn of lateral meniscus, in favor of degeneration of meniscus and r o tear of anterior horn of lateral meniscus."
Medial Meniscus,english,v3_target,target_local_association,degeneration,r o,1,1,0.0,"* there is linear signal intensity in anterior horn of lateral meniscus and posterior horn of medial meniscus, without significant extends into the surface, r o grade 2 intrasubstance signal, maybe due to degeneration."
Medial Meniscus,english,v3_target,target_local_association,tear,suspect,1,1,0.0,medial meniscus: increased signal intensity at the body and posterior horn; with horizontal tear at posterior horn and suspect posterior root tear .
Medial Meniscus,english,v3_target|v2_exact,target_local_association,abnormality,possible,1,1,0.0,possible posterior horn medial meniscus injury.
Medial Meniscus,english,v3_target|v2_exact,target_local_association,abnormality,suspect,1,1,0.0,"suspect medial meniscus ramp injury, type 1"
Medial Meniscus,english,v3_target|v2_exact,target_local_association,tear,likely,1,1,0.0,medial compartment: medial meniscus: increased signal in the body and posterior horn which is not meet criteria for tear and likely represents remnant of vascularity.
Medial Meniscus,english,v3_target|v2_exact,target_local_association,tear,may represent,1,1,0.0,"medial compartment: medial meniscus: small focus of surfacing signal abnormality (seen best on series 4, image 21 and series 6, image 19), which may represent a small undersurface tear at the junction of the body posterior horn of the medial meniscus."
Medial Meniscus,english,v3_target|v2_exact,target_local_association,tear,no definite,13,9,0.3076923076923077,medial meniscus: no definite tear.
Medial Meniscus,english,v3_target|v2_exact,target_local_association,tear,possible,3,3,0.0,"in the medial compartment, there is possible horizontal tear at the posterior horn of the medial meniscus."
Medial Meniscus,english,v3_target|v2_exact,target_local_association,tear,possibly,1,1,0.0,"there is degenerative free edge fraying, possibly in association with a small adjacent undersurface tear, at the junction between the body and posterior horn medial meniscus."
Medial Meniscus,english,v3_target|v2_exact,target_local_association,tear,probable,3,3,0.0,medial compartment: medial meniscus: probable small oblique undersurface tear at the posterior horn without extrusion.
Medial Meniscus,english,v3_target|v2_exact,target_local_association,tear,suspect,5,4,0.2,suspect tear of posterior horn of medial meniscus.
Medial Meniscus,english,v3_target|v2_exact,target_local_association,tear,suspected,8,8,0.0,"in the medial compartment, there is suspected small vertical tear at the posterior horn of the medial meniscus."
Medial Meniscus,english,v3_target|v2_exact,target_local_association,tear,suspicious,8,8,0.0,"in the medial compartment, there is suspicious small inferior corner tear at the body of the medial meniscus."
Medial Meniscus,french,v3_target|v2_exact,target_local_association,abnormality,suspect,2,2,0.0,emoussement du rebord posterieur de la corne posterieure du menisque interne suspect d'une dechirure longitudinale verticale peripherique potentielle.
Medial Meniscus,german,v3_target,target_local_association,degeneration,dd,3,3,0.0,"das innenmeniskushinterhorn minimal t2 signalangehoben, dd bei mukoider degeneration."
Medial Meniscus,german,v3_target,target_local_association,extrusion,fraglich,1,1,0.0,innenmeniskus extrudiert stehend bei radiarer rissbildung nahe der hinterhornwurzel (4 23) sowie fraglich horizontaler rissbildung pars intermedia hinterhorn bei mukoiden signalalterationen.
Medial Meniscus,german,v3_target|v2_exact,target_local_association,abnormality,verdacht,1,1,0.0,verdacht auf beginnenden basisnahen einriss im innenmeniskus am ubergang der pars intermedia zum hinterhorn mit minimalem knochenodem am medialen tibiaplateau.
Medial Meniscus,south_slavic,v3_target,target_local_association,degeneration,moze odgovarati,1,1,0.0,"medijalni menisk blago povisenog signala u podrucju srednje trecine koja zahvaca vanjsku(crvenu) trecinu meniska, moze odgovarati zoni kontuzije ili degenerativnim promjenama."
Medial Meniscus,south_slavic,v3_target,target_local_association,degeneration,vjerojatno,1,1,0.0,"promijenjen je intenzitet signala straznjeg roga i straznjeg dijela trupa medijalnog mensika, vjerojatno u smislu mukoidne degeneracije."
Medial Meniscus,south_slavic,v3_target,target_local_association,sprain,?,1,1,0.0,"medijalni menisk diskretno promijenjenog signala u podrucju dijela trupa i straznjeg roga, moguce u smislu ranije ozljede ili pocetne mukoidne degeneracije anamneza?"
Medial Meniscus,south_slavic,v3_target,target_local_association,sprain,moguce,1,1,0.0,"medijalni menisk diskretno promijenjenog signala u podrucju dijela trupa i straznjeg roga, moguce u smislu ranije ozljede ili pocetne mukoidne degeneracije anamneza?"
Medial Meniscus,south_slavic,v3_target,target_local_association,tear,?,1,1,0.0,"medijalni menisk je degenerativno promijenjen s kompleksnom ""bucket handle"" rupturom i flap om tijela i straznjeg roga interkondilarno reruptura?"
Medial Meniscus,south_slavic,v3_target,target_local_association,tear,moguce,2,2,0.0,"straznji rog i straznji korijen medijalnog meniska inhomogenijeg prikaza moguce u sklopu degenerativnih promjena, uz radijalnu rupturu u podrucju straznjeg roga te ekstruziju meniska za oko 3mm."
Medial Meniscus,south_slavic,v3_target,target_local_association,tear,moze odgovarati,7,7,0.0,inhomogeniji prikaz u podrucju trupa medijalnog meniska moze odgovarati horizontalnoj rupturi uz ekstruziju meniska za oko 2 mm.
Medial Meniscus,south_slavic,v3_target,target_local_association,tear,vjerojatno,2,2,0.0,"uznapredovale degenerativne promjene medijalnog meniska uz vidljivu kompleksnu rupturu trupa i straznjeg roga, vjerojatno starijeg datuma."
Medial Meniscus,south_slavic,v3_target|v2_exact,target_local_association,tear,moguce,5,5,0.0,"horizontalna ruptura straznjeg roga medijalnog meniska, moguce starijeg datuma."
Medial Meniscus,south_slavic,v3_target|v2_exact,target_local_association,tear,vjerojatno,6,6,0.0,"longitudinalna ruptura straznjeg roga medijalnog meniska, vjerojatno na bazi degenerativnih promjena."
Medial Meniscus,spanish,v3_target,target_local_association,tear,probable,1,1,0.0,"impresion: probable rotura periferica del menisco medial, correlacionar con clinica."
Medial Meniscus,spanish,v3_target|v2_exact,target_local_association,abnormality,probable,2,1,0.5,probable lesion parcial meniscocapsular del cuerno posterior del menisco medial.
Medial Meniscus,spanish,v3_target|v2_exact,target_local_association,tear,probable,4,2,0.5,"probable rotura periferica del menisco medial, correlacionar con clinica."
Medial Meniscus,turkish,v3_target,target_local_association,tear,supheli,1,1,0.0,medyal meniskus arka boynuzu govdesindeki dejeneratif yapi ici intensite artisi serbest kenar duzensizligi puskullenmesi yani sira bazi duzeylerdeki lineer ilimli hiperintensitelerin eklem yuzeyi serbest kenara uzanmasi ile birlikte yirtik acisindan supheli.
Medial OA,english,v3_target,compartment_scope,chondral_abnormality,probable,1,1,0.0,"in the medial compartment, there is probable horizontal tear at the posterior horn of the medial meniscus is not torn and there is no focal chondrosis or chondral injury."
